id,created_at,text
845770686635261953,2017-03-25 22:53:40,@wilw WRONG
845770182387654656,2017-03-25 22:51:39,@joshgondelman @behindyourback https://t.co/pP5JuI5hJp
845769391828447232,2017-03-25 22:48:31,It's almost like something else happened for the first time the next year and it made white people angry? https://t.co/pkztiA4OZH
845767493075423232,2017-03-25 22:40:58,@MatthewACherry trash
845763556112949248,2017-03-25 22:25:19,"PITCH: half hour political comedy panel show called ""Opinions, I've Got 'Em"" where I have dudes on to tell me their opinion &amp; I say ""WRONG."""
845760805379305472,2017-03-25 22:14:24,No matter what anyone does it will always be Obamacare to me.
845740476799995904,2017-03-25 20:53:37,"👋👋👋👋👋👋👋👋👋👋👋👋👋

I like to wave at the guy screenshotting all my tweets every now and then."
845738975528570880,2017-03-25 20:47:39,RT @wtflanksteak: Donald Trump lost the popular vote. Hillary Clinton won the popular vote.
845698194482720768,2017-03-25 18:05:36,RT @zoeinthecities: My dear cousin lives in DC &amp; works combating human trafficking. She recommends people go here for info: https://t.co/p5…
845697682983157761,2017-03-25 18:03:34,"GOP now stands for ""Golf On People's (Dime)"""
845697535536607232,2017-03-25 18:02:59,@TessRafferty https://t.co/DXtQPXp1mY
845688297418481666,2017-03-25 17:26:16,"@TessRafferty absolutely! But also: I wept out of the joy of seeing ""myself"" for the first time"
845684721682046976,2017-03-25 17:12:04,"This is a great idea. Even as a full on adult, I wept openly seeing @funhomemusical the first time. It's important. https://t.co/lK8ra917px"
845683966132678657,2017-03-25 17:09:04,RT @cameronesposito: After a long week crushing it at the office it's... https://t.co/6n2u2DJq89
845664365575487488,2017-03-25 15:51:11,"Now that the #AHCA is dead, let's take a look at everything they have been doing in the shadows. https://t.co/BvKGLiaCAv"
845656608675815424,2017-03-25 15:20:21,"RT @Rewire_News: Obamacare is the ""law of the land."" https://t.co/x2KgQQ6ofB @chgrimaldi looks at the week's negotiations through a reprodu…"
845536335481921536,2017-03-25 07:22:26,@katiemcvay Tamale Gal for Tamalderwoman
845535192974409729,2017-03-25 07:17:53,A tale of two tweets https://t.co/iy82ymDA7c
845527513568690176,2017-03-25 06:47:23,Stunning https://t.co/N0gDTgqKGW
845467880908992513,2017-03-25 02:50:25,"""Winning"" https://t.co/wINSrLgJDZ"
845452104361635840,2017-03-25 01:47:44,RT @RheaButcher: Paul Ryan is a failure.
845446588478611457,2017-03-25 01:25:48,@timothycsimons @SpeakerRyan he gone
845445286013001729,2017-03-25 01:20:38,@franklinleonard SHE WAS ALSO ON STAR TREK https://t.co/hyTVUrKQVw
845444522301505536,2017-03-25 01:17:36,@RuPaul 😎
845443397410177024,2017-03-25 01:13:08,#BlockGorsuch
845438649357365248,2017-03-25 00:54:16,"RT @HillaryClinton: Ryan, who was born with a disability and with the support of his family and world-class health care has had a lifetime…"
845438627656052736,2017-03-25 00:54:10,"RT @HillaryClinton: Pam, who is raising her grandson because his parents are struggling with opioid addiction - a silent epidemic in so man…"
845438609750577153,2017-03-25 00:54:06,"RT @HillaryClinton: Angelina, a young woman with autism who is already worrying who will take care of her when her parents are gone. https:…"
845438588368044032,2017-03-25 00:54:01,"RT @HillaryClinton: Keith, who brings his mother with Alzheimer's to work with him because he can’t afford care for her during the day. htt…"
845438568818401280,2017-03-25 00:53:56,"RT @HillaryClinton: Luisa, who suffered from bone cancer and needed care ASAP - but the hospital wouldn't admit her without proof of insura…"
845438559007924224,2017-03-25 00:53:54,"RT @HillaryClinton: Natarsha, whose breast cancer was caught early because of a screening at Planned Parenthood, which Republicans would de…"
845438547163148288,2017-03-25 00:53:51,RT @HillaryClinton: But this fight isn't over yet and we can't forget who it's about. Here are some stories...
845425630757892096,2017-03-25 00:02:32,Thread. Thread by the one who won by three million votes. Thread. https://t.co/yxpt19qXC7
845421980257964033,2017-03-24 23:48:01,Literally why https://t.co/Fog6eK3L2J
845379523835183104,2017-03-24 20:59:19,MOOD: https://t.co/DiXUqy8H8I
845378030939754500,2017-03-24 20:53:23,"I won't gloat on the total failure of the @GOP's single most ""important"" bill for too long - maybe just like 6, 7 years?"
845375127973871616,2017-03-24 20:41:51,I think y'all have a word for this right? https://t.co/RyThWd3ney
845346961343492096,2017-03-24 18:49:56,"@pattonoswalt the only place on the planet where ""Allentown"" is still on heavy rotation"
845322163489927168,2017-03-24 17:11:23,HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHHAHHAHAHHAHAHAHAHAHAHAHAH https://t.co/36cG4QtJ82
845309215639912448,2017-03-24 16:19:56,Good morning! https://t.co/GmN2rrPMgT
845292537661181953,2017-03-24 15:13:40,"Hilarious that GOP tried to sell their bill on basis of ""less paperwork"" but the acronym #AHCA has more letters than #ACA."
845284445925994497,2017-03-24 14:41:31,"RT @JordanUhl: How to take down #Trumpcare: 

1) Call (844) 872-0234

2) Give them your zip code

3) Connect with your Congressman/woman

4…"
845155679585239048,2017-03-24 06:09:50,Goodnight! https://t.co/lBDcv2ip6O
845154718577942531,2017-03-24 06:06:01,"Quick follow up: who, by chance, runs this government agency? https://t.co/XfKQv3nmiP"
845095864574009346,2017-03-24 02:12:09,Y'all remember The Stimulus? I sure do. https://t.co/Xn34ptkam0
845081210950901760,2017-03-24 01:13:56,@emilynussbaum she didn't do that and she still was
845065885714821120,2017-03-24 00:13:02,Paul Ryan is a failure.
845057999282421760,2017-03-23 23:41:42,https://t.co/uMaScWr70w
845046151703257088,2017-03-23 22:54:37,@iamnotatwit did you read her statements? It's not just a simple switch: she left due to racism &amp; bigotry
845044680505012225,2017-03-23 22:48:46,@DanaSchwartzzz oh my god
845044414644830208,2017-03-23 22:47:43,This is a big big big deal. https://t.co/SzvK3wfGUY
845043480820789249,2017-03-23 22:44:00,@TheJeffGoldman hahahahhahahhhahhahhhahahhha
845041480867627008,2017-03-23 22:36:03,"Thanks again for keeping the first woman out of the White House because she was too ""political"" or ""prepared"" or wh… https://t.co/J9622WwbP0"
845038568321953792,2017-03-23 22:24:29,"""A little on the nose, dude."" - The People Eater. https://t.co/kWtTT9JstK"
845037293710696448,2017-03-23 22:19:25,"RT @cameronesposito: No sex ed
No contraception
No abortion
No health care
No maternity leave
No child care
No social safety net
No options…"
845035725636612096,2017-03-23 22:13:11,What an a-hole. https://t.co/qnCd1rblRc
845035307279953921,2017-03-23 22:11:31,@christareindeer oh no we can
845031375082156032,2017-03-23 21:55:54,"I would laugh at what a gigantic failure this regime turned out to be (as most of us knew), if they weren't ruining so many people's lives."
844976953794871296,2017-03-23 18:19:39,"We haven't had an all dude lineup since October 13, 2015 on @pyhtshow. https://t.co/larPdjyHjP"
844973640168845312,2017-03-23 18:06:29,Hey! I'm super excited to be headlining the @improv April 8th! Tix here: https://t.co/gZn5NVKnR7
844941048086315008,2017-03-23 15:56:58,Re: last RT. Call call call call. https://t.co/Efbsu3Mmcc
844940764652060673,2017-03-23 15:55:51,"RT @realsesmith: Today’s agenda: Call your reps about the AHCA. If they’re solid noes, thank them. If they’re fence-sitters, explain why th…"
844776985473662976,2017-03-23 05:05:03,@DrTeethPhD @MattMira @GregProops that reason is: it would be awesome
844744727702355970,2017-03-23 02:56:52,RT @Yassir_Lester: Black girls in DC are literally vanishing. Please help https://t.co/TBbNPBawYM
844741593525497856,2017-03-23 02:44:25,The chant happening now started in my section. #wbc2017
844741234992136192,2017-03-23 02:42:59,@PFTompkins @NEILMAHONEY oh shit get me in THAT section dudes
844739445911793664,2017-03-23 02:35:53,@TheRachelFisher it's a long story. I root A's/Dodgers now.
844738276774707200,2017-03-23 02:31:14,@TheRachelFisher Crawfordy
844737908258979840,2017-03-23 02:29:46,Carlos to Frankie to Javy to Frankie to Carlos to Frankie around the horn was a beautiful thing to see. #wbc2017
844737153326186496,2017-03-23 02:26:46,Brandon Crawford getting a tepid response here at Dodger Stadium. #RheaScully
844735191096553474,2017-03-23 02:18:58,"@PFTompkins that's what everyone around me said! Well, plus his name."
844734820227809280,2017-03-23 02:17:30,@KendraJames_ also I am Puerto Rico ALL THE WAY
844734775092903936,2017-03-23 02:17:19,@KendraJames_ dude I'm so glad the olympics were last summer
844732801593192448,2017-03-23 02:09:28,@PFTompkins https://t.co/ucTUslBubM
844730647952318465,2017-03-23 02:00:55,I'm at the World Baseball Classic and I will tell you not many Americans realize that Puerto Rico is part of he United States.
844649084325576704,2017-03-22 20:36:49,@jonahray @elizaskinner (I'm white see what I did there?)
844648710462062592,2017-03-22 20:35:20,Insurance is the biggest scam of all time
844648162446888960,2017-03-22 20:33:09,"@jonahray @elizaskinner Jonah, you're right"
844648096940244992,2017-03-22 20:32:53,@daydayb that's gross
844646088216797184,2017-03-22 20:24:54,"@Sodapopgrrrl I mean, he'd have like a pottery maker or whatever but he'd say he made it"
844644589231267840,2017-03-22 20:18:57,@BuzzFeedLGBT Alliance Defending Freedom has DeVos ties
844644137123033088,2017-03-22 20:17:09,"I should lighten up, look forward to 2025 when he takes up pottery or some shit and we all forgive him."
844641926552834048,2017-03-22 20:08:22,"White people will believe anything, as long as it's coming out of a white mans mouth."
844613847184896000,2017-03-22 18:16:47,RT @ChrisJenningsDC: Graphic display of reverse Robin Hood in AHCA. https://t.co/hvaQ0TwwQm
844609907370295296,2017-03-22 18:01:08,@jeanlucpeakhard palpable
844609333056856065,2017-03-22 17:58:51,"I literally laughed, my bro https://t.co/voUkrwXkDx"
844606190935932928,2017-03-22 17:46:22,"Not life and death but, straight up: I wouldn't have made #TakeMyWife if it weren't for Obamacare/ACA. https://t.co/0hKPBBrQnE"
844604443467247616,2017-03-22 17:39:25,"@ANDREWTI NRA, baby!"
844601661163110400,2017-03-22 17:28:22,This rolls back protections on killing sleeping mothers and cubs. These people are absolutely disgusting. https://t.co/QrRSwbcVkN
844600591959523329,2017-03-22 17:24:07,HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHHAAHAHAHAHABABAHAHHAHAAHHHAHHAHHHAGAHHAHHHHHAHHAHHAHHHAHHAHHAAHHAHHAHAHHHAHAHAAH… https://t.co/4jTEFy9PmM
844582629970079744,2017-03-22 16:12:45,RT @SethAbramson: (13) What Democrats must do is this: (a) speak with one voice in saying Gorsuch is legally qualified for SCOTUS; (b) refu…
844580999644114946,2017-03-22 16:06:16,RT @SenKamalaHarris: Reminder: the House of Representatives is voting tomorrow to kick millions of people off their health care. Call them…
844579783086243840,2017-03-22 16:01:26,"RT @RheaButcher: I love to relax after a long day with a glass of cool, crisp giner ale. https://t.co/26BNrqzkip"
844436913146793984,2017-03-22 06:33:43,"I love to relax after a long day with a glass of cool, crisp giner ale. https://t.co/26BNrqzkip"
844434265446268932,2017-03-22 06:23:12,@MrEmilyHeller perfection
844433041586032641,2017-03-22 06:18:20,@timothycsimons GO BE WITH YOUR GRANDKIDS
844428507434418176,2017-03-22 06:00:19,"RT @jenmacramos: Anyway, the World Baseball Classic is fun and I want baseball in the US to be more fun like literally every other country…"
844391395884359686,2017-03-22 03:32:51,"What a fun #WomensHistoryMonth, right?"
844368432908795905,2017-03-22 02:01:36,@dave_schilling @marcellacomedy something about the middle of it
844366316383354880,2017-03-22 01:53:12,"Guys, don't worry - he was just cleaning the money! https://t.co/SCkUY9Teq2"
844364179926478849,2017-03-22 01:44:42,@marcellacomedy @dave_schilling I myself am having a lot of NBA related feelings as of late
844362861774233600,2017-03-22 01:39:28,"@marcellacomedy @dave_schilling wasn't intended as an ""on blast"" really just checking in"
844353015255478272,2017-03-22 01:00:20,Put Your Hands Together is at 8pm TO-NITE for $7. Last week was packed! Let's do it again. 👏👋 https://t.co/SLceCMZ5RK
844331500417957888,2017-03-21 23:34:51,"RT @Nettaaaaaaaa: ⚡️ “Looking back at when Russian 'interference' was considered paranoia”

https://t.co/TXpM7O5Rrf"
844320866229862400,2017-03-21 22:52:35,RT @BreeNewsome: Trucker was fired by employer 4 abandoning trailer after it broke down in subzero temps &amp; his truck had no heat. Gorsuch s…
844318801919336448,2017-03-21 22:44:23,Nixonland preface. https://t.co/XFKbOG1QlQ
844314916177666048,2017-03-21 22:28:57,¯\_(ツ)_/¯ https://t.co/ehSgFOZ1sN
844276196921659392,2017-03-21 19:55:05,We really don't deserve turtles. https://t.co/uh200lEnRe
844275888262828032,2017-03-21 19:53:52,Their Brand Is Crisis https://t.co/Kb3XBVBS6o
844274007780163584,2017-03-21 19:46:23,"RT @andreagrimes: In short, the megabucks right-wing legal group suing an ISD for not segregating trans kids is funded by a family foundati…"
844273989862113280,2017-03-21 19:46:19,"RT @andreagrimes: Fun coincidence, ADF is partially funded by the Richard and Helen DeVos foundation, yes, THOSE DeVoses https://t.co/aKvIS…"
844273976138358784,2017-03-21 19:46:16,"RT @andreagrimes: This is an Alliance Defending Freedom suit, so you can be sure it is 100% made up by creepy adults exploiting kids https:…"
844267087568658432,2017-03-21 19:18:54,That's putting it lightly for a lifetime appointment https://t.co/2Imp7yomE9
844219561608060929,2017-03-21 16:10:02,"RT @RheaButcher: (•_•)
&lt;)   )╯Lock
 /    \

\(•_•)
 (   (&gt; Them
 /    \

 (•_•)
&lt;)   )&gt;  Up
 /    \"
844058933438304257,2017-03-21 05:31:46,@DSGermain https://t.co/hTXTzYPgch
844058196859744257,2017-03-21 05:28:50,I AM GONNA GO SEE PUERTO RICO ON WEDNESDAY https://t.co/sZ8SMtztdm
844057969469804544,2017-03-21 05:27:56,@Hamptonyount what if you heard someone say that
844057615302713344,2017-03-21 05:26:31,"@Hamptonyount it's CHiPs, Hampton."
844057119326273536,2017-03-21 05:24:33,@seanoconnz just fun
844056499391356928,2017-03-21 05:22:05,Puerto Rico just executed. #wbc2017
844056206448582662,2017-03-21 05:20:56,@seanoconnz how bout these tiebreaker rules
844056135573282818,2017-03-21 05:20:39,@seanoconnz so good
844056101297373184,2017-03-21 05:20:31,@seanoconnz I'm going Wednesday
844055452925153280,2017-03-21 05:17:56,@seanoconnz are u there
844048728486903808,2017-03-21 04:51:13,@BMcGComedy Javy forgot it wasn't Rizzo on 1st just now
