id,created_at,text
845083884769431552,2017-03-24 01:24:33,"Arbys wants to remind you to save money avoiding high insurance premiums since no one cares if you live or die.
ArbyCare®

Enjoy arbys"
843131441005449216,2017-03-18 16:06:14,"This St Patrick's day don't forget that...wait, what? It was yesterday? Eh, whatever. 

Eat arbys."
841858218414493696,2017-03-15 03:46:54,"Tonight at arbys: no one cares. Kill. Die. OD. Sleep over. Whatever. We can't express this enough: we don't care. 

Eat arbys"
839547773305434112,2017-03-08 18:46:01,"In honor of #InternationalWomensDay we're grinding up living beings in a giant machine, because fuck it. That's just how we do.

Enjoy arbys"
839318229902295041,2017-03-08 03:33:54,"The best part of this new healthcare plan is that here at arbys, we were all ready to die anyway. 

Eat arbys"
838863899021742080,2017-03-06 21:28:33,"Nothing says ""who gives a shit"" like shameless merchandising so fuck it.

Shirts: https://t.co/M3XOookpHY
Pins https://t.co/ypnw4pN3lq"
837320769470357504,2017-03-02 15:16:42,"Look in the corner you sleep in
Now look in the corner you defecate in
Now look in the corner you cry for your dead dreams in

Eat arbys lol"
837022584671768578,2017-03-01 19:31:49,"This Ash Wednesday head down to arbys where everyone here has had black shit smeared all over our faces for weeks now 

Enjoy arbys"
836083459529535488,2017-02-27 05:20:05,Eat McDonald's. Oh...wait. I read that wrong. Eat arbys.
836012951408619520,2017-02-27 00:39:54,"Bc they get such little attention, tonight we're giving celebs solid gold dick shaped man statues so they can fuck themselves more
Eat arbys"
835271885344604160,2017-02-24 23:35:10,"every single person you've ever loved will either go to your funeral or you will go to theirs. 

Afterwards, why not go to arbys?"
833733403807797248,2017-02-20 17:41:48,"Hey gang! This Presidents' Day  remember: regardless of your political affiliation, you're closer to death than you've ever been
Eat arbys."
831499781310644224,2017-02-14 13:46:11,"Roses are red
Violets are blue
Nobody gives
A shit about you
Come down to arbys
Shoot some black tar
Cry for yr dead dreams
die in your car"
830963261172498432,2017-02-13 02:14:14,"Here's the thing about beyonce's performance: the Grammys are stupid and we're hurling incontrovertibly towards eternal doom.

Eat arbys."
826917956298928134,2017-02-01 22:19:38,"So Beyoncé is pregnant w twins, eh? Who cares? We're all gonna die.

Enjoy arbys"
825527641658753025,2017-01-29 02:15:01,"No matter what country you're from, Arbys is happy to remind you that you're all banned from entering heaven bc it doesn't exist.

Eat Arbys"
824630150318940161,2017-01-26 14:48:43,"During these uncertain times, Arbys stands w those of you just trying to get high in this bathroom stall &amp; maybe fuck a little.

Enjoy Arbys"
822930817215238144,2017-01-21 22:16:10,"Today is a perfect day to march down to Arbys and abort your hunger. 

Enjoy Arbys."
822615214545899520,2017-01-21 01:22:05,"Tonight as half the nation cries and the other half enthusiastically fucks members of their immediate family, remember: Arbys exists for now"
822502833346019330,2017-01-20 17:55:31,"Daddy, where were you when the world ended?

Hooo, boy, I remember it like it was just now. I was at Arbys sucking off a hobo.

Enjoy Arbys"
821516089951711232,2017-01-18 00:34:33,"Only 3 more days until Americans can legally fuck their daughters. Not that it matters. Law is the dead twin to a dead God

Enjoy Arbys"
821044005492424704,2017-01-16 17:18:39,"This MLK day, sic the dogs on your hunger w a Beef n cheddar &amp; hose down your thirst with a delicious fountain drink from Arbys

Enjoy Arbys"
819967970675933185,2017-01-13 18:02:53,"There's no god It's Friday.

Enjoy Arbys"
818972537711448064,2017-01-11 00:07:23,Arbys: piss on whoever you want.
818573013100691456,2017-01-09 21:39:49,"What do Trump, Meryl Streep, &amp; pregnant chewbacca mom have in common?

Soon enough, they'll all be dead

Eat Arbys"
818144368129253376,2017-01-08 17:16:32,"Mommy, why are ppl at this Arbys all dressed up?

They were at church

God cares how they dress?

Oh baby, there's no god. Only pain &amp; death"
815624081269780480,2017-01-01 18:21:49,"Welp, it's the new year. Either you died last night or you didn't. Not sure which is worse. Here's to postponing the inevitable. 
Eat Arbys"
815265356533088260,2016-12-31 18:36:22,"And time lurches relentlessly forward in a death march, culminating in brutal suffering, the end of all things &amp; eternal blackness
Eat Arbys"
814216917175169025,2016-12-28 21:10:15,"What's your favorite dipping shit to dunk our #crap in, or whatever? Fuck this. 
Eat Arbys"
813603566636113920,2016-12-27 04:33:00,"It's been a rough weekend. Wash the taste of your uncle's dick out of your mouth w some Arbys tonight and start anew tomorrow
Enjoy Arbys"
813146898861355008,2016-12-25 22:18:22,"You're just waking up. It's 3pm. Your mouth reeks of semen &amp; gin. The speed is gone. So is your family.
It's Xmas at Arbys
No gods
No Santas"
812734293755777024,2016-12-24 18:58:50,"Hey kids! It's Xmas eve. Anyway, Santa's not real and soon your parents will be dead. 
Enjoy Arbys"
